Godzina,PmGdaLeczkow,PmGdaPowWars,PmGdaWyzwole,PmGdyPorebsk,PmSopBiPlowc
0,331.03035,386.92536,355.16237,325.37839,330.85358
1,313.85966,354.97599,344.69629,317.77381,321.25315
2,302.52517,338.45719,331.28550,301.91306,312.10786
3,290.30911,320.66286,323.45955,297.07115,301.48245
4,284.10701,312.01417,314.04569,289.14968,297.30716
5,287.27931,321.59513,318.23096,286.97265,296.61546
6,297.01788,345.70091,330.45120,293.88550,302.63818
7,312.24192,365.27937,343.33356,303.48091,312.34098
8,312.29146,357.32528,343.11238,316.55913,315.50744
9,307.18623,338.18526,336.01665,310.13772,307.89726
10,299.57139,317.49580,327.16913,303.69999,306.54587
11,294.29647,305.72259,319.93528,298.24308,296.62751
12,285.68835,299.51657,309.18388,288.51495,290.82542
13,276.94200,295.75524,301.12546,291.35275,293.93108
14,278.56806,299.57562,305.38539,290.61072,297.79642
15,286.91691,309.21096,309.48885,294.11571,313.67712
16,294.38938,317.66912,313.47186,304.53695,322.64148
17,301.85902,335.22062,318.75299,313.69162,330.24678
18,320.20324,359.78984,331.07255,334.77112,341.50407
19,337.31910,399.37283,349.37973,345.36738,348.39711
20,349.46573,417.84232,355.91848,351.87618,357.44625
21,357.73704,423.59995,364.25697,351.31314,360.77443
22,358.50247,430.98520,364.57685,348.94892,357.14218
23,345.44909,416.48619,364.83056,339.54846,344.21113
